Ad_Min_Age,Ad_Max_Age,Ad_Female,Ad_Male,Impressions,Clicks
35,44,0,1,3000,500
45,60,1,0,3000,500
45,60,0,1,3000,500
25,34,0,1,1937,293
45,60,0,1,1937,293
35,44,1,0,3001,500
25,34,0,1,1938,293
35,44,0,1,3003,501
45,60,1,0,3003,501
45,60,0,1,3003,501
25,34,1,0,3004,501
18,24,0,1,3005,501
25,34,1,0,3005,501
25,34,1,0,3005,501
18,24,1,0,3006,502
25,34,0,1,3006,502
18,24,0,1,3007,502
25,34,0,1,3007,502
25,34,1,0,3007,502
35,44,1,0,3008,502
25,34,0,1,3008,502
18,24,1,0,3008,503
35,44,0,1,3009,503
45,60,0,1,3009,503
45,60,1,0,3010,503
45,60,1,0,1944,295
35,44,0,1,1944,295
45,60,1,0,3012,504
